,Year,Country,Total News,Total Neg_AvgTone,Total Pos_AvgTone,Total Netral AvgTone,AvgTone,AvgTone2,Pos_AvgTone,Weighted AvgTone,GDP growth,Inflation,FDI,CAB,Tax Revenune,AvgTone_Norm
15,2003,IDN,62939,62659,0,280,4.431049590226361,4.45085031933572,4.45085031933572,4.52478610424032,4.780369121676539,5.4874291379014695,-0.254256320381005,3.45304287667862,12.3855320643093,-1.0247492094568207
16,2004,IDN,40991,40829,0,162,4.74245590054204,4.761272865343719,4.761272865343719,4.75086767470916,5.0308739450168485,8.55072703186366,0.738243979887563,0.60856132991737,12.3307678952353,-0.8744083049101592
17,2005,IDN,38391,38108,42,241,4.97385392081929,5.00527459696392,5.015143873862599,4.91479095851312,5.69257130383384,14.3317870842712,2.91611484304662,0.0970882465692074,,-0.4715205867480794
18,2006,IDN,44125,43917,6,202,5.036514288270499,5.059677002252481,5.0609644085404,5.01332398803791,5.5009517852034815,14.087424416793,1.34794264554579,2.9787086908709703,,-0.6725534122901617
19,2007,IDN,72942,72689,6,247,4.94297306474385,4.95976808980736,4.96059040699099,4.93674827112883,6.345022226672139,11.258578530896802,1.6030105718879,2.4272641269679203,,-0.5110346389874394
20,2008,IDN,66756,66519,10,227,5.000382324930429,5.01744385881429,5.01844309838783,5.0320273168344904,6.013703600091231,18.1497512494668,1.82632902403999,0.0246933252771077,13.310617826949,-0.3394337119944133
21,2009,IDN,131636,131042,0,594,4.9522736249768,4.974721775441809,4.974721775441809,4.77197399715051,4.62887118256154,8.274752431729171,0.903919419654062,1.9697705622352,11.057786518884802,-0.49740448855835684
22,2010,IDN,125993,125258,0,735,5.00105938841977,5.03040504818193,5.03040504818193,4.81172245532509,6.22385418062366,15.264293657644998,2.0251791383417697,0.6812772843751711,10.5374850612964,-0.7157435696828083
23,2011,IDN,154097,153062,0,1035,5.0949744853446,5.12942652825748,5.12942652825748,4.8831850143184194,6.16978420771008,7.46594303367513,2.30298428515062,0.18870395330258,11.158127850744501,-0.48976548018058974
24,2012,IDN,151878,150025,0,1853,4.78058648863793,4.83963282600468,4.83963282600468,4.61442878510392,6.03005065305612,3.75387875323653,2.3097803266511003,-2.6602736040667003,11.3805899447921,-0.4639988690538228
25,2013,IDN,67649,65004,0,2645,2.3825389446268304,2.47948398660176,2.47948398660176,2.2939927288489703,5.5572636889101314,4.9659902913167695,2.5513563340105803,-3.18996482895809,11.2853014633987,-0.28004317228053077
26,2014,IDN,53724,51385,643,1696,2.2359371488282203,2.30882385222663,2.3839740651073797,2.01386022545826,5.0066684257550005,5.44317454935612,2.81997260507169,-3.0881690763002903,10.8355237532905,-0.20105974075669586
27,2015,IDN,88091,31819,54385,1887,-1.75650621455374,-1.7949560222988898,2.19119774462626,-2.87591233037882,4.87632230022122,3.98024266013965,2.2976163874552302,-2.03504192183611,10.7534877772096,-0.7590811006636331
28,2016,IDN,81290,24027,55617,1646,-2.3776764439161098,-2.42681580691503,2.2436849908115604,-3.9628303394905195,5.0332795915301,2.4803957109250803,0.487174266144051,-1.81841107803349,10.3321451061155,-0.9141433573866096
29,2017,IDN,68635,23152,43968,1515,-1.9240947404328799,-1.9675244712397302,2.3639418321132597,-3.13654341594221,5.06768027408975,4.24446429147216,2.1136119192563303,-1.70282395869659,,-0.5341302775093248
75,2003,MYS,11652,11608,0,44,5.31879482067117,5.33895565562202,5.33895565562202,5.3743782570402,5.78849928090706,3.2992024425404503,2.92094209456765,12.142350556034401,15.4956551225138,-0.1370039790120119
76,2004,MYS,8047,8037,0,10,5.15383752773712,5.16025016619393,5.16025016619393,5.18083429798514,6.78343773628363,6.0095062279616105,3.50786522068393,12.087748312938096,15.199061700372699,-0.4630266777150789
77,2005,MYS,6488,6452,2,34,5.148643050780941,5.17576636403266,5.17919569025086,5.20964192404913,5.33213913924246,8.86235684942822,2.73439312562665,13.9199994956448,14.8263910607125,-0.29673145678642854
78,2006,MYS,13929,13885,5,39,5.70473844822237,5.72075607237505,5.72447003635988,5.90031899479825,5.5848470688658605,3.98075743636927,4.72720240947838,16.1038501796188,14.516221306572099,-0.0043292523382909565
79,2007,MYS,22808,22760,6,42,5.6477684277239,5.6581877492544495,5.66045126133376,5.674972696289769,6.29878592735085,4.881499101826219,4.6868880488533895,15.3812595680627,14.3037228371975,0.1937607239926109
80,2008,MYS,30928,30865,8,55,5.55612314775,5.56602133623593,5.56808688176532,5.56201382276937,4.83176989511323,10.3887570212799,3.2807912965275,16.859651814178697,14.662977300874903,0.21630711082515752
81,2009,MYS,58570,58435,0,135,5.56788198050164,5.58074523141921,5.58074523141921,5.5356069542453,-1.51352872655639,-5.9920975424694,0.0566922787314354,15.723000169259699,14.940504408187303,0.11820386696648288
82,2010,MYS,50317,50174,0,143,5.53444077288521,5.550214381338249,5.550214381338249,5.44619927536958,7.4248473927781,7.266866569505369,4.26859027533685,10.0557447117162,13.332195310376699,-0.18236218521736802
83,2011,MYS,62244,62008,0,236,5.56872355020524,5.58991789219092,5.58991789219092,5.387813958939941,5.2939128402282,5.41240808398462,5.07443251972248,10.9049942367115,14.794353171377999,-0.016016415319949573
84,2012,MYS,65868,65372,0,496,5.1843553954028305,5.22369089494575,5.22369089494575,5.06853260315559,5.47345419229524,0.999932303703858,2.8290564659394004,5.188771397918671,15.613146742555001,-0.06022996228892197
85,2013,MYS,80873,78808,0,2065,2.46113549482852,2.52562444007293,2.52562444007293,2.41706352617398,4.6937225201998,0.174474486468412,3.49430152561612,3.46613288891246,15.310235280489,-0.20144662207884112
86,2014,MYS,118478,113588,1833,3057,2.06110452773555,2.11569421714465,2.21039613457068,1.71304961035392,6.00672194999372,2.4674667793993703,3.1412678501571203,4.39164342217662,14.840790714026802,-0.3758923618493659
87,2015,MYS,124911,44217,77942,2752,-1.4862413370744199,-1.51972340683292,2.29117542960711,-2.34056982542677,5.028006348961768,-0.37450458848911705,3.32524680778241,3.0589065398461903,14.290205860987502,-0.48881622318431295
88,2016,MYS,110836,32429,75843,2564,-1.80505211599323,-1.84779773467032,2.13509666524437,-2.31183332255656,4.219851319643951,1.9512063476409096,4.54248146395855,2.40537153849742,13.766388645010199,-0.3415190294637298
89,2017,MYS,100946,31655,67173,2118,-1.9011228784220902,-1.9418661723924,2.2832410725322596,-2.9986810728465003,5.90176922237052,3.81956219393183,3.02438256563181,3.00476333810772,,-0.5111584154985351
90,2003,PHL,19118,19031,0,87,4.85249206599649,4.87467517827339,4.87467517827339,4.89342570047563,4.97036869699237,3.20132792259547,0.586355041603849,0.33965688385588805,12.1017522610396,-0.6033067336866917
91,2004,PHL,12246,12186,0,60,5.06020587713167,5.08512072635438,5.08512072635438,5.09715169630947,6.697623614410089,5.51688658239,0.64790626003236,1.77845890633883,11.8159876154414,-0.5566583283205286
92,2005,PHL,7930,7868,12,50,4.77240540872316,4.8026871689308,4.81809265489516,4.81134969509554,4.77766781940045,5.82800968788347,1.61441200929476,1.93107825886334,12.4272827280376,-0.6729690988442094
93,2006,PHL,10869,10822,10,37,4.836441760410571,4.85296210246515,4.85981370091118,4.73327649516789,5.24296035576116,4.94902410637846,2.21536627763805,5.69741991666504,13.7118708819138,-0.8726259401500904
94,2007,PHL,32605,32492,7,106,4.9290076009542,4.94508424348785,4.94697810329097,4.86427612191812,6.61666228456504,3.09033098652421,1.95415535734943,5.404357937666,13.5348865442799,-0.5250001027770894
95,2008,PHL,51939,51766,7,166,4.7142251768288395,4.72934041796521,4.730248275621,4.69800497817327,4.1527568434561495,7.54906208822888,0.7692680702964759,0.08267794938937599,13.5893944216829,-0.6255908600960032
96,2009,PHL,118034,117737,0,297,4.9791485495957,4.99170880779176,4.99170880779176,4.83126865207254,1.14833221939689,2.77324521536318,1.2264980950498,5.018675290759781,12.2299087471226,-0.4705295639394569
97,2010,PHL,85205,84919,0,286,5.14955030612164,5.16689355542451,5.16689355542451,4.929030375488269,7.63226478049033,4.22238717219361,0.536290787439322,3.59694026956257,12.146992063353,-0.5672526519809384
98,2011,PHL,108795,108281,0,514,5.200892617453531,5.2255807788610795,5.2255807788610795,4.95809240361767,3.6597516012354,4.02172300099879,0.8954774299528109,2.51746678446,12.3815401543326,-0.3838473480716589
99,2012,PHL,113163,112397,0,766,4.945432218545919,4.97913597469071,4.97913597469071,4.68627345510332,6.68381888148204,1.96838419449099,1.28569244908673,2.77876864718588,12.8879512613886,-0.2991531391458331
100,2013,PHL,101662,99705,0,1957,2.65179469458187,2.7038438617981297,2.7038438617981297,2.56146455723327,7.06402426381545,2.04546754429667,1.37486206345121,4.1876364438331,13.309510901428304,-0.010787422325491125
101,2014,PHL,102437,99310,1169,1958,2.61571403657667,2.6666855637974503,2.7372425140438903,2.4868495510763298,6.1452987858692,3.1574375194432798,2.01682578014622,3.77952101302328,13.6054423265534,0.17871714699175367
102,2015,PHL,140968,59914,78204,2850,-0.9309507774805179,-0.9501605091289599,2.4304616169744904,-1.3017876532723,6.0665489034551,-0.586573663833178,1.92611162697168,2.48166691599405,13.6276037796914,0.066474336409589
103,2016,PHL,179471,53686,122415,3370,-1.90974127892149,-1.9462875115378002,2.18917801366239,-2.5487112430442798,6.87571482288942,1.69909619389745,2.71559358134654,-0.393216590022997,13.676778835636599,-0.44620819239198983
104,2017,PHL,162792,46533,113467,2792,-2.25528746296001,-2.29464222918866,2.32516777950089,-3.05627574061287,6.68451750279448,2.32070851029395,3.20712416774582,-0.802866610296568,,-0.8653230000364549
105,2003,SGP,5272,5257,0,15,5.17841607706732,5.19319185054193,5.19319185054193,5.23162245584506,4.435328147081719,-1.70764029576796,17.5785340170205,22.8318509218368,12.528713731347196,-0.2773827226158616
106,2004,SGP,3748,3726,0,22,5.633898368771431,5.66716346917749,5.66716346917749,5.66942519557259,9.549175476457119,4.2499030574394,21.3596831843793,18.1878439084477,11.690582715678401,0.017034163319231688
107,2005,SGP,3202,3187,2,13,5.63802707886886,5.6610105696262405,5.665592343666401,5.75362207414582,7.48915745881868,2.22616880307329,14.1976598856178,22.0570981174548,11.6124560294991,0.19265257130149038
108,2006,SGP,5502,5474,6,22,5.865592585226411,5.88914058465615,5.89831389638623,5.786741707084941,8.8601961142317,1.71998437566951,24.9828046090484,25.1290318733002,11.8977154172078,0.15652488466574965
109,2007,SGP,9927,9896,6,25,5.853912592106661,5.86869221388031,5.87501045910974,5.846893867005661,9.11152714756238,5.8609939478857,26.521206815507398,26.058607907656608,12.888857429572301,0.39990488837537175
110,2008,SGP,12120,12065,6,49,5.707396586978789,5.73056471163805,5.73531880627304,5.72974635274341,1.78762022808476,-1.49161008378701,6.347066869875832,14.478429349614403,13.8535718014975,0.36758055005394663
111,2009,SGP,22541,22443,0,98,5.878210413710071,5.90387831107422,5.90387831107422,5.70710873473334,-0.6033882983675339,3.5210188950604904,12.380546387128598,16.8485171123675,13.0723438315146,0.42853230017491395
112,2010,SGP,20164,20074,0,90,5.77240998298234,5.79829007157796,5.79829007157796,4.8711572704266395,15.240377035941501,-0.0459876080012123,23.2955964706858,23.441580934642896,12.9690275904878,0.055607024879761546
113,2011,SGP,26774,26643,0,131,5.928570963701921,5.9577209391643295,5.9577209391643295,5.595366952020769,6.350673204676402,1.247837140627,17.812155232224,22.150185461982197,13.266440264676001,0.34383099817673113
114,2012,SGP,28202,27978,0,224,5.582428334557849,5.627122878375889,5.627122878375889,5.260111925841691,4.08329765028593,0.545308470392698,19.3307336249403,17.0035630982975,13.786875276837304,0.33784297686609666
115,2013,SGP,28208,27297,0,911,2.7379893743002497,2.82936602081773,2.82936602081773,2.64313983644764,5.11108725924601,-0.224575002338085,21.1794457057195,16.5211803644284,13.407340384398804,0.07540725739288856
116,2014,SGP,35281,33871,376,1034,2.6735993697121296,2.7543218198036,2.81932930730574,2.4659862758118196,3.88388730533306,-0.25475061526808,22.3222539971128,18.680200695827,13.700662973712301,0.23660248012721352
117,2015,SGP,57780,32926,23397,1457,0.171880427607161,0.176326742310278,2.4994552753310497,-0.361534383026988,2.24105796825458,3.58655748918486,23.214700740582103,18.5771805921853,13.308565764497,1.169305541497268
118,2016,SGP,62403,30123,30701,1579,-0.495766675694524,-0.508636851627078,2.41722208709561,-1.33064697137428,2.39702145797342,-0.0364671237737895,23.970847551014,18.9966116062521,13.708262154431901,0.9677664108349762
119,2017,SGP,49594,24704,23702,1188,-0.40074776588422,-0.410583082701772,2.48650393866316,-1.3587656796231398,3.61854233591816,0.8703980421760631,19.6455735935145,18.829014548154106,,0.989216697039335
120,2003,THA,11942,11890,0,52,5.30624707782298,5.32945354107334,5.32945354107334,5.3526940573376605,7.189329964860518,2.14945025946048,3.4359389839969103,3.1335632134696096,14.481571095597902,-0.1495517218602016
121,2004,THA,10262,10184,0,78,4.58729403754348,4.62242845770534,4.62242845770534,4.50959781075304,6.289288548619009,3.569164221552509,3.38947905000647,1.59597531920602,14.8533544003675,-1.0295701679087186
122,2005,THA,8349,8240,31,78,4.58705454774772,4.63031295117226,4.66872582804191,3.91443956540083,4.1878349237258,5.0914966099465495,4.33958498366303,-4.0364623646694096,16.0618644845,-0.8583199598196494
123,2006,THA,15061,14823,20,218,4.98158483663038,5.054749661422231,5.06655401936442,4.79915488393727,4.96791682393713,5.10427243645672,4.02125324565952,1.04380672530891,15.6369722360935,-0.7274828639302813
124,2007,THA,23303,22996,15,292,4.8354125702249,4.89677194054803,4.90263970844509,4.76660760705167,5.43509256989793,2.4733287620729505,3.28356903025998,5.9266535755126,15.143146546277,-0.6185951335063891
125,2008,THA,35852,35588,12,252,4.734834736223781,4.7683509821094106,4.77170689543902,4.653225246654411,1.72566790833977,5.13377532094729,2.93824805764496,0.319466043143198,15.384881649526301,-0.6049813007010618
126,2009,THA,55034,54667,0,367,4.9427130045473895,4.97589528403353,4.97589528403353,4.798406575796469,-0.690733346164549,0.194743196002392,2.27590655851546,7.87657444601681,14.194247004966302,-0.5069651089877674
127,2010,THA,47959,47707,0,252,4.74042553039427,4.7654656132680495,4.7654656132680495,4.504770738813111,7.513590657975099,4.08097180495979,4.3232061999186495,3.36732227150433,14.9326392645699,-0.9763774277083082
128,2011,THA,65697,65384,0,313,4.8202584501088,4.84333352803129,4.84333352803129,4.50185301206283,0.839959472432227,3.74310800626228,0.6670876305649079,2.54217090999368,16.361852158515,-0.7644815154163895
129,2012,THA,51508,50904,0,604,4.7236310803757,4.77967919393352,4.77967919393352,4.376978244620729,7.2427866054252386,1.90922873045223,3.2445663280707,-0.427190006930141,15.440940672168601,-0.5209542773160525
130,2013,THA,49144,47050,0,2094,2.51004034025331,2.6217518061936,2.6217518061936,2.36303019469801,2.68737991886854,1.77892498095187,3.79126740597145,-1.15650075742106,16.9091105037737,-0.1525417766540511
131,2014,THA,58753,55967,803,1983,2.21180235038533,2.2890615376464503,2.39392527988897,1.89686799917419,0.984414063833114,1.44146599320337,1.2214522160316998,3.73742281291003,15.6222709734797,-0.22519453919958599
132,2015,THA,72843,25821,45549,1473,-2.07642616919835,-2.11928137092497,2.5129087485294597,-3.72165984944483,3.0201739932175697,0.8593465065103629,2.22411360897473,8.00018980228606,16.0280877287348,-1.0790010553082432
133,2016,THA,69202,24488,43192,1522,-1.7391401710951102,-1.77825026773233,2.49179212784127,-2.64517968230121,3.28268307477235,2.3608309096704705,0.743945816792562,11.7150307578592,15.509896893692401,-0.27560708456561
134,2017,THA,53456,20018,32338,1100,-1.62163393451705,-1.65570447710947,2.5565006359003597,-2.6515042655717997,3.90297504194695,2.3137589615166,1.7451054649758202,10.5721071313883,,-0.23166947159349505
